Unique-Ice	HG-Sediment	UIW-DOM
		C25H29N3O9
		C23H33NO12
		C24H37NO11
		C20H20O16
		C24H20O13
		C21H24O15
		C25H24O12
		C22H28O12S
		C22H28O14
		C26H28O11
		C23H32O11S
		C25H28N2O10
		C23H32O13
		C27H32O10
		C24H36O10S
		C23H36N2O9S
		C24H36O12
		C28H36O9
		C25H40O11
		C29H40O8
		C22H44O13
		C23H23N3O11
		C21H27NO14
		C25H27NO11
		C24H27N3O10
		C22H31NO13
		C26H31NO10
		C25H31N3O9
		C23H35NO12
		C20H22O16
		C28H22O8S
		C24H22O13
		C21H26O13S
		C21H26O15
		C25H26O12
		C22H30O12S
		C24H26N2O11
		C22H30O14
		C26H30O11
		C23H34O11S
		C25H30N2O10
		C23H34O13
		C27H34O10
		C24H38O12
		C28H38O9
		C29H42O8
		C24H25NO12
		C23H25N3O11
		C25H29NO11
		C24H29N3O10
		C26H33NO10
		C27H37NO9
		C23H20O14
		C20H24O14S
		C20H24O16
		C24H24O13
		C21H28O13S
		C23H24N2O12
		C21H28O15
		C25H28O12
		C22H32O12S
		C24H28N2O11
		C22H32O14
		C19H36O14S
		C26H32O11
		C23H36O11S
		C25H32N2O10
		C23H36O13
		C27H36O10
		C24H40O12
		C28H40O9
		C29H44O8
		C23H23NO13
		C22H23N3O12
		C24H27NO12
		C23H27N3O11
		C25H31NO11
		C24H31N3O10
		C26H35NO10
		C22H18O15
		C27H22O9S
		C23H22O14
		C20H26O14S
		C24H26O13
		C21H30O13S
		C23H26N2O12
		C21H30O15
		C25H30O12
		C22H34O12S
		C24H30N2O11
		C22H34O14
		C26H34O11
		C23H38O11S
		C25H34N2O10
		C27H38O10
		C28H42O9
		C29H46O8
		C22H21NO14
		C23H25NO13
		C22H25N3O12
		C24H29NO12
		C23H29N3O11
		C25H33NO11
		C26H37NO10
		C22H20O15
		C23H24O14
		C20H28O14S
		C22H24N2O13
		C24H28O13
		C21H32O13S
		C23H28N2O12
		C25H32O12
		C22H36O12S
		C24H32N2O11
		C26H36O11
		C27H40O10
		C28H44O9
		C22H23NO14
		C23H27NO13
		C22H27N3O12
		C24H31NO12
		C23H31N3O11
		C25H35NO11
		C26H39NO10
		C27H47N3O7
		C22H22O15
		C23H26O14
		C22H26N2O13
		C27H26O11
		C24H30O11S
		C24H30O13
		C21H34O13S
		C23H30N2O12
		C28H30O10
		C25H34O10S
		C25H34O12
		C24H34N2O11
		C29H34O9
		C26H38O11
		C27H42O10
		C22H25NO14
		C21H25N3O13
		C23H29NO13
		C22H29N3O12
		C24H33NO12
		C25H37NO11
		C27H49N3O7
		C21H20O16
		C22H24O15
		C16H32O15S2
		C21H24N2O14
		C26H24O12
		C23H28O12S
		C23H28O14
		C22H28N2O13
		C27H28O11
		C24H32O11S
		C24H32O13
		C23H32N2O12
		C28H32O10
		C25H36O12
		C29H36O9
		C26H40O11
		C30H40O8
		C27H44O10
		C27H48N2O8
		C36H48O3
		C22H27NO14
		C25H27N3O10
		C23H31NO13
		C24H35NO12
		C21H22O16
		C25H22O13
		C22H26O13S
		C22H26O15
		C21H26N2O14
		C30H26O7S
		C26H26O12
		C23H30O12S
		C25H26N2O11
		C23H30O14
		C27H30O11
		C24H34O11S
		C24H34O13
		C28H34O10
		C24H38N2O9S
		C25H38O12
		C29H38O9
		C26H42O11
		C30H42O8
		C24H25N3O11
		C22H29NO14
		C26H29NO11
		C25H29N3O10
		C23H33NO13
		C27H33NO10
		C24H20O14
		C21H24O16
		C25H24O13
		C22H28O13S
		C22H28O15
		C26H28O12
		C23H32O12S
		C25H28N2O11
		C23H32O14
		C27H32O11
		C24H36O11S
		C26H32N2O10
		C24H36O13
		C28H36O10
		C25H40O12
		C29H40O9
		C30H44O8
		C24H23NO13
		C23H23N3O12
		C25H27NO12
		C24H27N3O11
		C26H31NO11
		C25H31N3O10
		C23H35NO13
		C27H35NO10
		C24H22O14
		C21H26O14S
		C21H26O16
		C25H26O13
		C22H30O13S
		C24H26N2O12
		C22H30O15
		C26H30O12
		C23H34O12S
		C25H30N2O11
		C23H34O14
		C27H34O11
		C24H38O11S
		C26H34N2O10
		C24H38O13
		C28H38O10
		C25H42O12
		C29H42O9
		C30H46O8
		C24H25NO13
		C23H25N3O12
		C25H29NO12
		C24H29N3O11
		C29H29NO9
		C26H33NO11
		C25H33N3O10
		C27H37NO10
		C23H20O15
		C28H24O9S
		C24H24O14
		C21H28O14S
		C23H24N2O13
		C29H28O8S
		C25H28O13
		C22H32O13S
		C24H28N2O12
		C22H32O15
		C33H28O7
		C26H32O12
		C23H36O12S
		C25H32N2O11
		C23H36O14
		C27H36O11
		C28H40O10
		C29H44O9
		C23H23NO14
		C22H23N3O13
		C24H27NO13
		C23H27N3O12
		C25H31NO12
		C24H31N3O11
		C26H35NO11
		C27H39NO10
		C23H22O15
		C28H26O9S
		C24H26O14
		C21H30O14S
		C23H26N2O13
		C25H30O13
		C22H34O13S
		C24H30N2O12
		C26H34O12
		C25H34N2O11
		C20H42O14S
		C27H38O11
		C28H42O10
		C29H46O9
		C23H25NO14
		C22H25N3O13
		C24H29NO13
		C23H29N3O12
		C25H33NO12
		C26H37NO11
		C22H20O16
		C23H24O15
		C22H24N2O14
		C24H28O14
		C23H28N2O13
		C25H32O11S
		C25H32O13
		C22H36O13S
		C24H32N2O12
		C29H32O10
		C26H36O12
		C30H36O9
		C27H40O11
		C28H44O10
		C29H48O9
		C22H23NO15
		C23H27NO14
		C22H27N3O13
		C24H31NO13
		C25H35NO12
		C26H39NO11
		C27H47N3O8
		C28H51N3O7
		C22H22O16
		C23H26O15
		C22H26N2O14
		C27H26O12
		C24H30O12S
		C24H30O14
		C23H30N2O13
		C28H30O11
		C25H34O11S
		C25H34O13
		C29H34O10
		C26H38O12
		C30H38O9
		C27H42O11
		C28H46O10
		C28H50N2O8
		C37H50O3
		C22H25NO15
		C23H29NO14
		C26H29N3O10
		C24H33NO13
		C28H33NO10
		C25H37NO12
		C26H41NO11
		C27H49N3O8
		C28H53N3O7
		C22H24O16
		C26H24O13
		C23H28O13S
		C23H28O15
		C22H28N2O14
		C27H28O12
		C24H32O12S
		C24H32O14
		C28H32O11
		C25H36O11S
		C21H36O16
		C25H36O13
		C29H36O10
		C26H40O12
		C30H40O9
		C27H44O11
		C22H27NO15
		C25H27N3O11
		C23H31NO14
		C27H31NO11
		C26H31N3O10
		C24H35NO13
		C28H35NO10
		C25H22O14
		C22H26O16
		C26H26O13
		C23H30O13S
		C23H30O15
		C27H30O12
		C24H34O12S
		C26H30N2O11
		C24H34O14
		C28H34O11
		C25H38O11S
		C25H38O13
		C29H38O10
		C26H42O12
		C30H42O9
		C24H50O13
		C26H29NO12
		C25H29N3O11
		C27H33NO11
		C26H33N3O10
		C28H37NO10
		C29H24O9S
		C25H24O14
		C22H28O14S
		C24H24N2O13
		C22H28O16
		C26H28O13
		C23H32O13S
		C25H28N2O12
		C23H32O15
		C27H32O12
		C24H36O12S
		C26H32N2O11
		C24H36O14
		C28H36O11
		C27H36N2O10
		C25H40O13
		C29H40O10
		C30H44O9
		C31H48O8
		C25H27NO13
		C24H27N3O12
		C26H31NO12
		C25H31N3O11
		C27H35NO11
		C28H39NO10
		C25H26O14
		C22H30O14S
		C24H26N2O13
		C26H30O13
		C23H34O13S
		C25H30N2O12
		C23H34O15
		C27H34O12
		C26H34N2O11
		C24H38O14
		C28H38O11
		C25H42O13
		C29H42O10
		C30H46O9
		C24H25NO14
		C23H25N3O13
		C25H29NO13
		C24H29N3O12
		C26H33NO12
		C25H33N3O11
		C27H37NO11
		C24H24O15
		C23H24N2O14
		C25H28O14
		C22H32O14S
		C24H28N2O13
		C26H32O13
		C25H32N2O12
		C23H36O15
		C27H36O12
		C26H36N2O11
		C28H40O11
		C29H44O10
		C30H48O9
		C24H27NO14
		C23H27N3O13
		C25H31NO13
		C24H31N3O12
		C26H35NO12
		C27H39NO11
		C23H22O16
		C24H26O15
		C23H26N2O14
		C25H30O14
		C24H30N2O13
		C26H34O11S
		C26H34O13
		C25H34N2O12
		C30H34O10
		C27H38O12
		C28H42O11
		C29H46O10
		C23H25NO15
		C24H29NO14
		C25H33NO13
		C26H37NO12
		C29H53N3O7
		C23H24O16
		C24H28O15
		C23H28N2O14
		C28H28O12
		C25H32O12S
		C25H32O14
		C24H32N2O13
		C29H32O11
		C26H36O11S
		C26H36O13
		C30H36O10
		C23H40O15
		C27H40O12
		C31H40O9
		C28H44O11
		C29H48O10
		C29H52N2O8
		C38H52O3
		C23H27NO15
		C24H31NO14
		C25H35NO13
		C26H39NO12
		C28H51N3O8
		C29H55N3O7
		C16H30O17S2
		C23H26O16
		C27H26O13
		C24H30O13S
		C24H30O15
		C28H30O12
		C25H34O12S
		C25H34O14
		C29H34O11
		C26H38O13
		C30H38O10
		C27H42O12
		C31H42O9
		C29H54N2O8
		C38H54O3
		C23H29NO15
		C26H29N3O11
		C24H33NO14
		C28H33NO11
		C25H37NO13
		C26H24O14
		C23H28O14S
		C23H28O16
		C27H28O13
		C24H32O13S
		C24H32O15
		C28H32O12
		C25H36O12S
		C25H36O14
		C29H36O11
		C26H40O13
		C30H40O10
		C27H44O12
		C31H44O9
		C24H48O14
		C25H27N3O12
		C27H31NO12
		C26H31N3O11
		C28H35NO11
		C29H39NO10
		C26H26O14
		C23H30O14S
		C25H26N2O13
		C23H30O16
		C27H30O13
		C24H34O13S
		C24H34O15
		C28H34O12
		C25H38O12S
		C25H38O14
		C29H38O11
		C26H42O13
		C30H42O10
		C31H46O9
		C26H29NO13
		C25H29N3O12
		C27H33NO12
		C26H33N3O11
		C28H37NO11
		C25H24O15
		C22H28O15S
		C26H28O14
		C25H28N2O13
		C23H32O16
		C27H32O13
		C24H36O13S
		C26H32N2O12
		C24H36O15
		C28H36O12
		C27H36N2O11
		C25H40O14
		C29H40O11
		C30H44O10
		C31H48O9
		C25H27NO14
		C24H27N3O13
		C26H31NO13
		C25H31N3O12
		C27H35NO12
		C28H39NO11
		C24H22O16
		C25H26O15
		C24H26N2O14
		C26H30O14
		C23H34O14S
		C25H30N2O13
		C27H34O13
		C26H34N2O12
		C28H38O12
		C29H42O11
		C30H46O10
		C24H25NO15
		C25H29NO14
		C24H29N3O13
		C26H33NO13
		C27H37NO12
		C28H41NO11
		C24H24O16
		C25H28O15
		C24H28N2O14
		C26H32O14
		C25H32N2O13
		C30H32O11
		C27H36O13
		C31H36O10
		C28H40O12
		C29H44O11
		C30H48O10
		C24H27NO15
		C25H31NO14
		C26H35NO13
		C27H39NO12
		C30H55N3O7
		C24H26O16
		C25H30O15
		C24H30N2O14
		C29H30O12
		C26H34O12S
		C26H34O14
		C30H34O11
		C27H38O13
		C31H38O10
		C28H42O12
		C29H46O11
		C39H54O3
		C24H29NO15
		C25H33NO14
		C26H37NO13
		C29H53N3O8
		C24H28O16
		C28H28O13
		C25H32O13S
		C25H32O15
		C29H32O12
		C26H36O12S
		C26H36O14
		C30H36O11
		C27H40O13
		C31H40O10
		C28H44O12
		C32H44O9
		C24H31NO15
		C27H31N3O11
		C25H35NO14
		C29H35NO11
		C23H26O17
		C27H26O14
		C24H30O14S
		C24H30O16
		C28H30O13
		C25H34O13S
		C25H34O15
		C29H34O12
		C26H38O12S
		C26H38O14
		C30H38O11
		C27H42O13
		C31H42O10
		C28H46O12
		C32H46O9
		C27H29NO13
		C26H29N3O12
		C24H33NO15
		C28H33NO12
		C29H37NO11
		C26H24O15
		C27H28O14
		C24H32O14S
		C26H28N2O13
		C24H32O16
		C28H32O13
		C25H36O13S
		C27H32N2O12
		C25H36O15
		C29H36O12
		C26H40O12S
		C26H40O14
		C30H40O11
		C27H44O13
		C31H44O10
		C32H48O9
		C25H27N3O13
		C27H31NO13
		C28H35NO12
		C27H35N3O11
		C29H39NO11
		C26H26O15
		C27H30O14
		C24H34O14S
		C26H30N2O13
		C24H34O16
		C28H34O13
		C25H38O13S
		C27H34N2O12
		C25H38O15
		C29H38O12
		C26H42O14
		C30H42O11
		C31H46O10
		C21H29N3O16
		C26H29NO14
		C25H29N3O13
		C27H33NO13
		C26H33N3O12
		C28H37NO12
		C29H41NO11
		C25H24O16
		C24H24N2O15
		C26H28O15
		C23H32O15S
		C25H28N2O14
		C30H28O12
		C27H32O14
		C24H36O14S
		C26H32N2O13
		C28H36O13
		C27H36N2O12
		C29H40O12
		C30H44O11
		C31H48O10
		C25H27NO15
		C26H31NO14
		C25H31N3O13
		C27H35NO13
		C28H39NO12
		C25H26O16
		C26H30O15
		C23H34O15S
		C25H30N2O14
		C27H34O14
		C26H34N2O13
		C31H34O11
		C28H38O13
		C22H46O15S
		C29H42O12
		C30H46O11
		C25H29NO15
		C26H33NO14
		C27H37NO13
		C28H41NO12
		C31H57N3O7
		C24H24O17
		C25H28O16
		C26H32O15
		C25H32N2O14
		C30H32O12
		C27H36O14
		C31H36O11
		C28H40O13
		C32H40O10
		C29H44O12
		C30H48O11
		C25H31NO15
		C26H35NO14
		C27H39NO13
		C29H51N3O9
		C31H59N3O7
		C24H26O17
		C25H30O16
		C29H30O13
		C26H34O13S
		C26H34O15
		C30H34O12
		C27H38O12S
		C27H38O14
		C31H38O11
		C28H42O13
		C32H42O10
		C29H46O12
		C25H33NO15
		C26H37NO14
		C27H41NO13
		C24H28O17
		C28H28O14
		C25H32O14S
		C25H32O16
		C29H32O13
		C26H36O13S
		C26H36O15
		C30H36O12
		C27H40O14
		C31H40O11
		C28H44O13
		C32H44O10
		C29H48O12
		C33H48O9
		C28H31NO13
		C25H35NO15
		C29H35NO12
		C27H26O15
		C24H30O17
		C28H30O14
		C25H34O14S
		C25H34O16
		C29H34O13
		C26H38O13S
		C28H34N2O12
		C26H38O15
		C30H38O12
		C27H42O14
		C31H42O11
		C32H46O10
		C26H29N3O13
		C28H33NO13
		C27H33N3O12
		C29H37NO12
		C26H24O16
		C27H28O15
		C26H28N2O14
		C28H32O14
		C25H36O14S
		C27H32N2O13
		C25H36O16
		C29H36O13
		C28H36N2O12
		C26H40O15
		C30H40O12
		C31H44O11
		C32H48O10
		C22H31N3O16
		C27H31NO14
		C26H31N3O13
		C28H35NO13
		C29H39NO12
		C26H26O16
		C27H30O15
		C26H30N2O14
		C28H34O14
		C27H34N2O13
		C29H38O13
		C30H42O12
		C31H46O11
		C32H50O10
		C26H29NO15
		C27H33NO14
		C28H37NO13
		C29H41NO12
		C26H28O16
		C27H32O15
		C26H32N2O14
		C28H36O14
		C27H36N2O13
		C29H40O13
		C30H44O12
		C31H48O11
		C25H27NO16
		C26H31NO15
		C25H31N3O14
		C27H35NO14
		C28H39NO13
		C25H26O17
		C26H30O16
		C27H34O15
		C26H34N2O14
		C31H34O12
		C28H38O14
		C25H42O14S
		C32H38O11
		C29H42O13
		C30H46O12
		C26H33NO15
		C27H37NO14
		C28H41NO13
		C25H28O17
		C26H32O16
		C30H32O13
		C27H36O13S
		C27H36O15
		C31H36O12
		C28H40O14
		C32H40O11
		C29H44O13
		C30H48O12
		C7H7NO4S
		C8H11NO5
		C11H6O4
		C8H10O4S
		C8H10O6
		C12H10O3
		C13H14O2
		C9H18N2O3
		C14H18O
		C11H9NO3
		C8H13NO5
		C12H13NO2
		C6H4O4S2
		C11H8O4
		C11H12N2O2
		C13H16O2
		C14H20O
		C10H7NO4
		C11H11NO3
		C12H15NO2
		C9H19NO4
		C10H6O5
		C10H10N2O3
		C8H14O6
		C12H14O3
		C11H14N2O2
		C9H18O5
		C13H18O2
		C10H9NO4
		C11H13NO3
		C12H17NO2
		C9H4O6
		C10H8O3S
		C7H12O5S
		C8H16O4S
		C10H12N2O3
		C12H16O3
		C13H20O2
		C10H11NO4
		C11H15NO3
		C9H6O6
		C7H14O5S
		C9H10N2O4
		C10H14N2O3
		C12H18O3
		C13H22O2
		C9H9NO5
		C10H13NO4
		C11H17NO3
		C5H8O5S2
		C9H8O4S
		C13H8O3
		C10H12O3S
		C7H16O5S
		C9H12N2O4
		C14H12O2
		C13H24O2
		C9H11NO3S
		C9H11NO5
		C10H15NO4
		C11H19NO3
		C9H10O4S
		C13H10O3
		C9H14N2O4
		C14H14O2
		C15H18O
		C9H13NO5
		C13H13NO2
		C10H17NO4
		C8H8O7
		C12H8O4
		C9H12O4S
		C8H12N2O5
		C13H12O3
		C14H16O2
		C15H20O
		C8H11NO6
		C12H11NO3
		C9H15NO5
		C13H15NO2
		C10H19NO4
		C11H23NO3
		C7H6O6S
		C11H6O5
		C8H10O5S
		C8H10O7
		C12H10O4
		C11H10N2O3
		C13H14O3
		C12H14N2O2
		C14H18O2
		C15H22O
		C11H9NO4
		C12H13NO3
		C13H17NO2
		C11H8O5
		C8H12O5S
		C8H12O7
		C11H12N2O3
		C13H16O3
		C12H16N2O2
		C10H20O5
		C14H20O2
		C11H11NO4
		C12H15NO3
		C10H6O6
		C8H14O5S
		C10H10N2O4
		C8H14O7
		C9H18O4S
		C11H14N2O3
		C9H18O6
		C13H18O3
		C14H22O2
		C10H9NO5
		C11H13NO4
		C12H17NO3
		C8H16O5S
		C10H12N2O4
		C15H12O2
		C11H16N2O3
		C13H20O3
		C14H24O2
		C10H11NO5
		C11H15NO4
		C10H15N3O3
		C12H19NO3
		C9H6O7
		C7H14O6S
		C9H10N2O5
		C14H10O3
		C8H18O5S
		C10H14N2O4
		C15H14O2
		C9H9NO6
		C10H13NO5
		C11H17NO4
		C12H21NO3
		C9H8O5S
		C9H8O7
		C13H8O4
		C10H12O4S
		C9H12N2O5
		C14H12O3
		C10H16N2O4
		C15H16O2
		C9H11NO6
		C13H11NO3
		C10H15NO5
		C14H15NO2
		C11H19NO4
		C12H6O5
		C9H10O7
		C13H10O4
		C10H14O4S
		C9H14N2O5
		C14H14O3
		C13H14N2O2
		C15H18O2
		C11H22N2O3
		C12H9NO4
		C9H13NO4S
		C13H13NO3
		C10H17NO5
		C14H17NO2
		C11H21NO4
		C8H8O8
		C12H8O5
		C9H12O7
		C13H12O4
		C10H16O4S
		C12H12N2O3
		C14H16O3
		C13H16N2O2
		C15H20O2
		C16H24O
		C12H11NO4
		C13H15NO3
		C8H10O4S2
		C11H6O6
		C12H10O5
		C9H14O5S
		C11H10N2O4
		C9H14O7
		C13H14O4
		C10H18O4S
		C12H14N2O3
		C14H18O3
		C11H22O5
		C11H9NO5
		C12H13NO4
		C13H17NO3
		C14H21NO2
		C11H8O4S
		C11H8O6
		C8H12O6S
		C12H12O3S
		C9H16O5S
		C11H12N2O4
		C9H16O7
		C13H16O4
		C10H20O4S
		C12H16N2O3
		C10H20O6
		C14H20O3
		C11H11NO5
		C12H15NO4
		C13H19NO3
		C11H10O4S
		C8H14O6S
		C10H10N2O5
		C9H18O5S
		C11H14N2O4
		C12H18N2O3
		C10H22O6
		C14H22O3
		C10H9NO6
		C11H13NO5
		C8H17NO5S
		C12H17NO4
		C10H8O7
		C14H8O4
		C11H12O4S
		C8H16O6S
		C10H12N2O5
		C15H12O3
		C9H20O5S
		C11H16N2O4
		C16H16O2
		C10H11NO6
		C14H11NO3
		C11H15NO5
		C12H19NO4
		C13H23NO3
		C10H10O5S
		C7H14O5S2
		C10H10O7
		C14H10O4
		C11H14O4S
		C8H18O6S
		C10H14N2O5
		C15H14O3
		C11H18N2O4
		C16H18O2
		C10H13NO6
		C11H17NO5
		C9H8O6S
		C13H8O5
		C9H12N2O4S
		C14H12O4
		C11H16O4S
		C13H12N2O3
		C10H16N2O5
		C15H16O3
		C14H16N2O2
		C16H20O2
		C12H24N2O3
		C13H11NO4
		C10H15NO6
		C14H15NO3
		C11H19NO5
		C12H23NO4
		C9H10O6S
		C12H10N2O4
		C10H14O7
		C14H14O4
		C13H14N2O3
		C10H18N2O5
		C15H18O3
		C14H18N2O2
		C16H22O2
		C12H9NO5
		C13H13NO4
		C14H17NO3
		C12H8O6
		C9H12O6S
		C9H12O8
		C13H12O5
		C12H12N2O4
		C10H16O7
		C14H16O4
		C13H16N2O3
		C15H20O3
		C12H24O3S
		C12H24O5
		C12H11NO5
		C13H15NO4
		C14H19NO3
		C12H10O4S
		C8H10O9
		C12H10O6
		C9H14O6S
		C11H10N2O5
		C8H14N2O5S
		C13H14O3S
		C10H18O5S
		C12H14N2O4
		C10H18O7
		C14H18O4
		C13H18N2O3
		C11H9NO6
		C12H13NO5
		C13H17NO4
		C11H8O7
		C9H16O6S
		C11H12N2O5
		C10H20O5S
		C12H16N2O4
		C10H20O7
		C14H20O4
		C16H28O2
		C11H11NO6
		C9H19NO3S2
		C12H15NO5
		C9H19NO5S
		C13H19NO4
		C11H10O7
		C8H14O7S
		C15H10O4
		C12H14O4S
		C9H18O6S
		C11H14N2O5
		C16H14O3
		C13H18O3S
		C9H18O8
		C10H22O5S
		C12H18N2O4
		C15H26O3
		C8H17NO4S2
		C11H13NO6
		C12H17NO5
		C13H21NO4
		C14H8O5
		C11H12O5S
		C8H16O5S2
		C10H12N2O6
		C15H12O4
		C12H16O4S
		C9H20O6S
		C11H16N2O5
		C16H16O3
		C12H20N2O4
		C17H20O2
		C10H11NO7
		C14H11NO4
		C11H15NO6
		C10H15N3O5
		C12H19NO5
		C14H27NO3
		C10H10O6S
		C10H10O8
		C14H10O5
		C11H14O5S
		C10H14N2O6
		C15H14O4
		C12H18O4S
		C14H14N2O3
		C11H18N2O5
		C16H18O3
		C17H22O2
		C15H30O3
		C10H13NO7
		C14H13NO4
		C11H17NO6
		C15H17NO3
		C12H21NO5
		C11H21N3O4
		C13H25NO4
		C13H8O6
		C10H12O6S
		C10H12O8
		C14H12O5
		C11H16O5S
		C13H12N2O4
		C15H16O4
		C14H16N2O3
		C11H20N2O5
		C16H20O3
		C17H24O2
		C13H11NO5
		C10H15NO7
		C14H15NO4
		C11H19NO6
		C15H19NO3
		C12H23NO5
		C9H10O7S
		C13H10O6
		C10H14O6S
		C14H14O3S
		C10H14O8
		C14H14O5
		C11H18O5S
		C13H14N2O4
		C11H18O7
		C15H18O4
		C14H18N2O3
		C13H13NO5
		C14H17NO4
		C12H8O7
		C9H12O7S
		C13H12O6
		C10H16O6S
		C12H12N2O5
		C10H16O8
		C14H16O5
		C11H20O5S
		C13H16N2O4
		C11H20O7
		C15H20O4
		C12H24O4S
		C14H20N2O3
		C12H11NO6
		C13H15NO5
		C14H19NO4
		C12H10O5S
		C12H10O7
		C9H14O7S
		C16H10O4
		C10H18O6S
		C12H14N2O5
		C17H14O3
		C10H18O8
		C11H22O5S
		C13H18N2O4
		C11H22O7
		C15H22O4
		C7H9NO6S2
		C12H13NO6
		C13H17NO5
		C14H21NO4
		C11H8O8
		C12H12O5S
		C12H12O7
		C9H16O7S
		C11H12N2O6
		C16H12O4
		C13H16O4S
		C10H20O6S
		C12H16N2O5
		C17H16O3
		C14H20O3S
		C14H20O5
		C11H24O5S
		C13H20N2O4
		C11H11NO7
		C9H19NO4S2
		C12H15NO6
		C13H19NO5
		C11H10O6S
		C8H14O6S2
		C15H10O5
		C12H14O5S
		C9H18O7S
		C11H14N2O6
		C16H14O4
		C13H18O4S
		C10H22O6S
		C12H18N2O5
		C17H18O3
		C11H13NO7
		C15H13NO4
		C12H17NO6
		C11H17N3O5
		C16H17NO3
		C14H25NO4
		C14H8O6
		C11H12O6S
		C15H12O5
		C11H16N2O6
		C16H16O4
		C15H16N2O3
		C17H20O3
		C11H15NO7
		C10H15N3O6
		C15H15NO4
		C12H19NO6
		C13H23NO5
		C12H23N3O4
		C10H10O7S
		C14H10O6
		C11H14O6S
		C11H14O8
		C8H18O8S
		C15H14O5
		C12H18O5S
		C14H14N2O4
		C11H18N2O6
		C16H18O4
		C15H18N2O3
		C12H22N2O5
		C17H22O3
		C18H26O2
		C14H13NO5
		C11H17NO7
		C15H17NO4
		C12H21NO6
		C13H25NO5
		C13H8O7
		C10H12O7S
		C10H12O9
		C14H12O6
		C11H16O6S
		C13H12N2O5
		C15H16O3S
		C11H16O8
		C10H16N2O7
		C15H16O5
		C12H20O5S
		C14H16N2O4
		C12H20O7
		C16H20O4
		C15H20N2O3
		C17H24O3
		C13H11NO6
		C14H15NO5
		C15H19NO4
		C13H10O7
		C10H14O7S
		C11H18O6S
		C13H14N2O5
		C11H18O8
		C15H18O5
		C12H22O5S
		C14H18N2O4
		C12H22O7
		C13H26O4S
		C15H22N2O3
		C13H13NO6
		C14H17NO5
		C13H17N3O4
		C15H21NO4
		C18H33NO
		C12H8O8
		C13H12O7
		C10H16O7S
		C12H12N2O6
		C17H12O4
		C14H16O6
		C11H20O6S
		C13H16N2O5
		C11H20O8
		C15H20O5
		C14H20N2O4
		C12H24O7
		C12H11NO7
		C13H15NO6
		C12H15N3O5
		C14H19NO5
		C11H23NO5S
		C15H23NO4
		C12H10O8
		C16H10O5
		C13H14O5S
		C13H14O7
		C10H18O7S
		C12H14N2O6
		C17H14O4
		C14H18O4S
		C14H18O6
		C11H22O6S
		C13H18N2O5
		C18H18O3
		C15H22O3S
		C15H22O5
		C12H26O7
		C17H30O3
		C12H13NO7
		C13H17NO6
		C12H17N3O5
		C14H21NO5
		C15H8O6
		C12H12O6S
		C9H16O6S2
		C12H12O8
		C11H12N2O7
		C16H12O5
		C13H16O5S
		C13H16O7
		C10H20O7S
		C12H16N2O6
		C17H16O4
		C14H20O4S
		C14H20O6
		C11H24O6S
		C13H20N2O5
		C18H20O3
		C11H11NO8
		C12H15NO7
		C13H19NO6
		C14H23NO5
		C11H10O7S
		C11H10O9
		C15H10O6
		C12H14O6S
		C12H14O8
		C11H14N2O7
		C16H14O5
		C13H18O5S
		C15H14N2O4
		C12H18N2O6
		C14H22O4S
		C18H22O3
		C19H26O2
		C11H13NO8
		C15H13NO5
		C12H17NO7
		C16H17NO4
		C14H25NO5
		C13H25N3O4
		C14H8O7
		C11H12O9
		C15H12O6
		C14H12N2O5
		C12H16O8
		C11H16N2O7
		C16H16O5
		C13H20O5S
		C15H16N2O4
		C13H20O7
		C12H20N2O6
		C17H20O4
		C18H24O3
		C14H11NO6
		C11H15NO8
		C15H15NO5
		C12H19NO7
		C16H19NO4
		C13H23NO6
		C12H23N3O5
		C10H10O8S
		C14H10O7
		C11H14O7S
		C11H14O9
		C15H14O6
		C12H18O6S
		C14H14N2O5
		C16H18O3S
		C12H18O8
		C16H18O5
		C13H22O5S
		C15H18N2O4
		C13H22O7
		C17H22O4
		C14H26O4S
		C18H26O3
		C14H13NO6
		C11H17NO8
		C15H17NO5
		C12H21NO7
		C16H21NO4
		C13H8O8
		C11H16O7S
		C13H12N2O6
		C15H16O4S
		C15H16O6
		C12H20O6S
		C14H16N2O5
		C16H20O3S
		C12H20O8
		C16H20O5
		C15H20N2O4
		C13H24O7
		C14H28O4S
		C18H28O3
		C13H11NO7
		C14H15NO6
		C13H15N3O5
		C15H19NO5
		C14H19N3O4
		C16H23NO4
		C10H14O6S2
		C13H10O8
		C10H14O8S
		C11H18O7S
		C13H14N2O6
		C15H18O6
		C12H22O6S
		C14H18N2O5
		C16H22O3S
		C12H22O8
		C16H22O5
		C15H22N2O4
		C13H13NO7
		C14H17NO6
		C13H17N3O5
		C15H21NO5
		C13H12O8
		C10H16O8S
		C12H12N2O7
		C17H12O5
		C14H16O5S
		C11H20O5S2
		C14H16O7
		C11H20O7S
		C13H16N2O6
		C18H16O4
		C15H20O4S
		C12H24O6S
		C14H20N2O5
		C16H24O3S
		C12H24O8
		C16H24O5
		C13H28O5S
		C12H11NO8
		C13H15NO7
		C12H15N3O6
		C11H23NO4S2
		C14H19NO6
		C13H19N3O5
		C15H23NO5
		C12H10O9
		C16H10O6
		C13H14O6S
		C13H14O8
		C10H18O8S
		C12H14N2O7
		C17H14O5
		C14H18O5S
		C14H18O7
		C11H22O7S
		C13H18N2O6
		C18H18O4
		C15H22O4S
		C15H22O6
		C12H26O6S
